#time, gyroX[]
297.794,0.0340885
297.899,0.0340885
298.004,0.0340885
298.109,0.0340885
298.214,0.0340885
298.319,0.0340885
298.424,0.0340885
298.529,0.0330232
298.634,0.0340885
298.739,0.0330232
298.844,0.0340885
298.949,0.0351537
299.054,0.0330232
299.159,0.0340885
299.264,0.0330232
299.369,0.0340885
299.474,0.0340885
299.579,0.0340885
299.684,0.0340885
299.789,0.0340885
299.894,0.0340885
299.999,0.0330232
300.104,0.0330232
300.209,0.0340885
300.314,0.0340885
300.419,0.0340885
300.524,0.0340885
300.629,0.0340885
300.734,0.0340885
300.839,0.0340885
300.944,0.0340885
301.049,0.0340885
301.154,0.0340885
301.259,0.0340885
301.364,0.0340885
301.469,0.0340885
301.574,0.0340885
301.679,0.0340885
301.784,0.0351537
301.889,0.0340885
301.994,0.0340885
302.099,0.0340885
302.204,0.0330232
302.309,0.0340885
302.414,0.0340885
302.519,0.0340885
302.624,0.0330232
302.729,0.0340885
302.834,0.0340885
302.939,0.0340885
303.044,0.0330232
303.149,0.0340885
303.254,0.0340885
303.359,0.0340885
303.464,0.0340885
303.569,0.0330232
303.674,0.0340885
303.779,0.0340885
303.884,0.0340885
303.989,0.0340885
304.094,0.0340885
304.199,0.0340885
304.304,0.0340885
304.409,0.0340885
304.514,0.0340885
304.619,0.0340885
304.724,0.0340885
304.829,0.0340885
304.934,0.0340885
305.039,0.0340885
305.144,0.0340885
305.249,0.0340885
305.354,0.0330232
305.459,0.0340885
305.564,0.0340885
305.669,0.0340885
305.774,0.0340885
305.879,0.0340885
305.984,0.0340885
306.089,0.0340885
306.194,0.0330232
306.299,0.0340885
306.404,0.0340885
306.509,0.0340885
306.614,0.0340885
306.719,0.0340885
306.824,0.0340885
306.929,0.0340885
307.034,0.0340885
307.139,0.0340885
307.244,0.0330232
307.349,0.0340885
307.454,0.0351537
307.559,0.0340885
307.664,0.0340885
307.769,0.0340885
307.874,0.0340885
307.979,0.0340885
308.084,0.0340885
308.189,0.0340885
308.294,0.0340885
308.399,0.0340885
308.504,0.0340885
308.609,0.0330232
308.714,0.0340885
308.819,0.0330232
308.924,0.0340885
309.029,0.0340885
309.134,0.0340885
309.239,0.0340885
309.344,0.0330232
309.449,0.0340885
309.554,0.0351537
309.659,0.0340885
309.764,0.0340885
309.869,0.0340885
309.974,0.0340885
310.079,0.0340885
310.184,0.0340885
310.289,0.0340885
310.394,0.0340885
310.499,0.0340885
310.604,0.0340885
310.709,0.0340885
310.814,0.0340885
310.919,0.0340885
311.024,0.0340885
311.129,0.0340885
311.234,0.0340885
311.339,0.0340885
311.444,0.0340885
311.549,0.0340885
311.654,0.0340885
311.759,0.0340885
