#time, gyroZ[]
257.894,-0.0266316
257.999,0.0415453
258.104,-0.0149137
258.209,-0.0276969
258.314,-0.00319579
258.419,0.254598
258.524,0.2024
258.629,-0.18216
258.734,-0.13955
258.839,-0.0170442
258.944,0.0340885
259.049,-0.0245011
259.154,0.0458064
259.259,-0.0266316
259.364,-0.00958738
259.469,0.0692422
259.574,-0.00745685
259.679,0.0628506
259.784,-0.1012
259.889,0.13955
259.994,-0.0372843
260.099,0.00106526
260.204,0.0319579
260.309,0.0138484
260.414,0.1012
260.519,0.103331
260.624,0.052198
260.729,-0.0330232
260.834,-0.00213053
260.939,0.0191748
261.044,0.0234358
261.149,-0.00852212
261.254,0.00745685
261.359,-0.0117179
261.464,-0.0308927
261.569,0.0298274
261.674,-0.0181095
261.779,-0.0266316
261.884,-0.0319579
261.989,-0.0138484
262.094,-0.0607201
262.199,-0.0490022
262.304,0.0191748
262.409,-0.0255663
262.514,-0.00106526
262.619,-0.0745685
262.724,-0.0628506
262.829,0.0117179
262.934,-0.0266316
263.039,0
263.144,0.0255663
263.249,0.0436758
263.354,0.00319579
263.459,-0.00745685
263.564,0.00639159
263.669,0.0245011
263.774,-0.04048
263.879,-0.0553938
263.984,-0.0351537
264.089,0.0511327
264.194,0.0660464
264.299,-0.00426106
264.404,0.00213053
264.509,0.0213053
264.614,0.015979
264.719,0.00213053
264.824,0.0106526
264.929,0.00639159
265.034,0.00958738
265.139,0.0106526
265.244,-0.0298274
265.349,-0.00213053
265.454,0.0149137
265.559,0.0191748
265.664,-0.0181095
265.769,0.00639159
265.874,-0.0213053
265.979,0.00532632
266.084,-0.0543285
266.189,0.0127832
266.294,-0.00532632
266.399,0.00426106
266.504,0.00958738
266.609,0.00319579
266.714,0.00639159
266.819,0.00958738
266.924,0.0191748
267.029,-0.0447411
267.134,0.0127832
267.239,0
267.344,0.00532632
267.449,-0.00106526
267.554,-0.015979
267.659,0.015979
267.764,0.00319579
267.869,0.0127832
267.974,0.0106526
268.079,0.00958738
268.184,0.00106526
268.289,0.0149137
268.394,-0.0436758
268.499,0.0149137
268.604,0.00106526
268.709,-0.00426106
268.814,0.00319579
268.919,0.00958738
269.024,0.00213053
269.129,0.00213053
269.234,-0.00213053
269.339,-0.00213053
269.444,0
269.549,-0.00106526
269.654,-0.00106526
269.759,-0.00106526
269.864,-0.00213053
269.969,-0.00319579
270.074,-0.00106526
270.179,0.00106526
270.284,0
270.389,0.00958738
270.494,-0.00213053
270.599,0.00319579
270.704,0.00213053
270.809,0
270.914,-0.00213053
271.019,0.00319579
271.124,0.00213053
271.229,0.00213053
271.334,0.0500674
271.439,0.00745685
271.544,0.0170442
271.649,0.00213053
271.754,-0.0127832
271.859,-0.00639159
271.964,-0.00319579
272.069,0.00106526
272.174,-0.00426106
272.279,-0.00532632
272.384,-0.00532632
272.489,-0.00213053
272.594,-0.00426106
272.699,-0.00319579
272.804,-0.00213053
272.909,-0.00106526
273.014,0
273.119,-0.00213053
273.224,0
273.329,-0.00213053
273.434,0
273.539,-0.00106526
273.644,-0.00106526
273.749,-0.00213053
273.854,0
273.959,-0.00213053
274.064,0
274.169,0
274.274,-0.00106526
274.379,-0.00106526
274.484,0
274.589,-0.00106526
274.694,-0.00213053
274.799,0
274.904,0
275.009,0
275.114,-0.00106526
275.219,0
275.324,0
275.429,0.00106526
275.534,0.00106526
275.639,0
275.744,-0.00106526
275.849,-0.00106526
275.954,-0.00106526
276.059,0
276.164,-0.00106526
276.269,-0.00106526
276.374,-0.00106526
276.479,0
276.584,-0.00213053
276.689,0
276.794,0
276.899,0
277.004,0
277.109,0
277.214,0
277.319,0
277.424,-0.00106526
277.529,0
277.634,0
277.739,-0.00319579
277.844,0
277.949,-0.00213053
278.054,-0.00319579
278.159,-0.00319579
278.264,0.00106526
278.369,0.00532632
278.474,0.00532632
278.579,0.00319579
278.684,0.00106526
278.789,-0.00106526
278.894,-0.00106526
278.999,-0.00213053
279.104,0.00106526
279.209,0
279.314,0
279.419,-0.00106526
279.524,0
279.629,-0.00106526
279.734,-0.00106526
279.839,0
279.944,0
280.049,0
280.154,-0.00106526
280.259,0
280.364,0
280.469,-0.00213053
280.574,-0.00106526
280.679,0
280.784,-0.00426106
280.889,0
280.994,-0.00106526
281.099,-0.00106526
281.204,-0.00319579
281.309,0.00639159
281.414,0.0490022
281.519,-0.0117179
281.624,-0.00106526
281.729,0
281.834,0
281.939,-0.00106526
282.044,0
282.149,0
282.254,0
282.359,-0.00106526
282.464,0
282.569,0
282.674,0
282.779,-0.00106526
282.884,0
282.989,0
283.094,0
283.199,-0.00106526
283.304,0
283.409,0
283.514,-0.00106526
283.619,0
283.724,0
283.829,0
283.934,-0.00106526
284.039,0
284.144,-0.00106526
284.249,0
284.354,-0.00106526
284.459,0
284.564,0
284.669,0
284.774,0
284.879,-0.00106526
284.984,-0.00106526
285.089,-0.00106526
285.194,0
285.299,0
285.404,0
285.509,0
285.614,0
285.719,0
285.824,-0.00106526
285.929,0
286.034,0
286.139,-0.00106526
286.244,-0.00106526
286.349,0
286.454,0
286.559,0
286.664,0
286.769,0
286.874,0
286.979,0
287.084,0
287.189,0
287.294,0
287.399,0
287.504,0
287.609,0
287.714,-0.00106526
287.819,0
287.924,-0.00106526
288.029,0
288.134,-0.00106526
288.239,-0.00106526
288.344,0
288.449,0
288.554,0
288.659,0
288.764,0
288.869,0
288.974,0
289.079,0
289.184,0
289.289,0
289.394,0
289.499,-0.00106526
289.604,0
289.709,-0.00106526
289.814,-0.00106526
289.919,-0.00213053
290.024,0
290.129,0
290.234,0
290.339,0
290.444,0
290.549,0
290.654,0
290.759,0
290.864,0
290.969,-0.00106526
291.074,0
291.179,0
291.284,0
291.389,0
291.494,0
291.599,0
291.704,0
291.809,0
291.914,0
292.019,0
292.124,0
292.229,0
292.334,-0.00106526
292.439,-0.00106526
292.544,0
292.649,0
292.754,0
292.859,0
292.964,0
293.069,0
293.174,0
293.279,0
293.384,0
293.489,0
293.594,-0.00106526
293.699,0
293.804,-0.00106526
293.909,0
294.014,0
294.119,0
294.224,0
294.329,-0.00106526
294.434,0
294.539,0
294.644,0
294.749,0
294.854,0
294.959,0
295.064,0
295.169,-0.00106526
295.274,0
295.379,0
295.484,0
295.589,-0.00106526
295.694,-0.00106526
295.799,0
295.904,0
296.009,-0.00106526
296.114,0
296.219,0
296.324,0
296.429,-0.00106526
296.534,0
296.639,0
296.744,0
296.849,0.00106526
296.954,0
297.059,0
297.164,0
297.269,0
297.374,0
297.479,0
297.584,-0.00106526
297.689,0
297.794,-0.00106526
297.899,0
298.004,0
298.109,0
298.214,-0.00106526
298.319,0
298.424,-0.00106526
298.529,0
298.634,0
298.739,0
298.844,-0.00106526
298.949,0
299.054,-0.00106526
299.159,0
299.264,-0.00106526
299.369,0
299.474,0
299.579,0
299.684,0
299.789,0
299.894,0
299.999,-0.00106526
300.104,0
300.209,0
300.314,0
300.419,0
300.524,-0.00106526
300.629,-0.00106526
300.734,0
300.839,0
300.944,0
301.049,0
301.154,0
301.259,0
301.364,-0.00106526
301.469,0
301.574,0
301.679,0
301.784,0
301.889,0
301.994,0
302.099,0
302.204,0
302.309,0
302.414,0
302.519,0
302.624,0
302.729,-0.00106526
302.834,0
302.939,0
303.044,0
303.149,-0.00106526
303.254,0
303.359,0
303.464,0
303.569,-0.00106526
303.674,0
303.779,0
303.884,0
303.989,-0.00106526
304.094,0
304.199,-0.00106526
304.304,-0.00106526
304.409,0
304.514,0
304.619,0
304.724,0
304.829,0
304.934,0
305.039,0
305.144,-0.00106526
305.249,-0.00106526
305.354,0
305.459,0
305.564,0
305.669,0
305.774,0
305.879,-0.00106526
305.984,-0.00106526
306.089,-0.00106526
306.194,0
306.299,-0.00106526
306.404,-0.00106526
306.509,0
306.614,0
306.719,0
306.824,0
306.929,-0.00106526
307.034,0
307.139,-0.00106526
307.244,0
307.349,0
307.454,0
307.559,0
307.664,0
307.769,0
307.874,-0.00106526
307.979,-0.00106526
308.084,0
308.189,0
308.294,0
308.399,0
308.504,0
308.609,0
308.714,-0.00106526
308.819,0
308.924,-0.00106526
309.029,0
309.134,0
309.239,0
309.344,-0.00106526
309.449,0
309.554,0
309.659,0
309.764,-0.00106526
309.869,0
309.974,-0.00106526
310.079,0
310.184,0
310.289,-0.00106526
310.394,0
310.499,0
310.604,0
310.709,-0.00106526
310.814,0
310.919,0
311.024,0
311.129,0
311.234,0
311.339,-0.00106526
311.444,0
311.549,0
311.654,-0.00106526
311.759,0
311.864,0
311.969,0
312.074,-0.00106526
312.179,0
312.284,0
312.389,-0.00106526
312.494,-0.00106526
312.599,0
312.704,0
312.809,0.00106526
312.914,-0.00106526
313.019,-0.00106526
313.124,-0.00106526
313.229,-0.00106526
313.334,0
313.439,0
313.544,0
313.649,-0.00106526
313.754,0
313.859,-0.00106526
313.964,0
314.069,0
314.174,-0.00106526
314.279,0
314.384,0
314.489,0
314.594,0
314.699,0
314.804,0
314.909,0
315.014,-0.00106526
315.119,0
315.224,0
315.329,-0.00106526
315.434,0
315.539,0
315.644,0
315.749,0
315.854,-0.00106526
315.959,-0.00106526
316.064,0
316.169,0
316.274,0
316.379,0.00106526
316.484,-0.00106526
316.589,-0.00106526
316.694,0.00106526
316.799,0
316.904,-0.00106526
317.009,0
317.114,-0.00106526
317.219,0
317.324,0
317.429,0
317.534,-0.00106526
317.639,-0.00106526
317.744,0
317.849,0
317.954,0
318.059,-0.00106526
