#time, Temp[]
168.305,0.63
168.405,0.63
168.505,0.63
168.607,0.63
168.705,0.63
168.807,0.63
168.905,0.63
169.007,0.63
169.105,0.63
169.207,0.63
169.305,0.63
169.407,0.63
169.505,0.63
169.607,0.63
169.705,0.63
169.805,0.63
169.905,0.63
170.007,0.63
170.105,0.63
170.207,0.63
170.305,0.63
170.407,0.63
170.505,0.63
170.606,0.63
170.705,0.63
170.807,0.63
170.905,0.63
171.007,0.63
171.105,0.63
171.205,0.63
171.305,0.63
171.406,0.63
171.505,0.63
171.607,0.63
171.705,0.63
171.807,0.63
171.905,0.63
172.007,0.63
172.105,0.63
172.206,0.63
172.305,0.63
172.407,0.63
172.505,0.63
172.605,0.63
172.705,0.63
172.807,0.63
172.905,0.63
173.007,0.63
173.105,0.63
173.207,0.63
173.305,0.63
173.406,0.63
173.505,0.63
173.607,0.63
173.705,0.63
173.807,0.63
173.905,0.63
174.005,0.63
174.105,0.63
174.207,0.63
174.305,0.63
174.407,0.63
174.505,0.63
174.607,0.63
174.705,0.63
174.806,0.63
174.905,0.63
175.006,0.63
175.105,0.63
175.206,0.63
175.305,0.63
175.405,0.63
175.505,0.63
175.606,0.63
175.705,0.63
175.806,0.63
175.905,0.63
176.007,0.63
176.105,0.63
176.207,0.63
176.305,0.63
176.407,0.63
176.505,0.63
176.606,0.63
176.705,0.63
176.805,0.63
176.905,0.63
177.006,0.63
177.105,0.63
177.207,0.63
177.305,0.63
177.407,0.63
177.505,0.63
177.607,0.63
177.705,0.63
177.805,0.63
177.905,0.63
178.007,0.63
178.105,0.63
178.205,0.63
178.306,0.63
178.407,0.63
178.505,0.63
178.607,0.63
178.705,0.63
178.807,0.63
178.905,0.63
179.007,0.63
179.105,0.63
179.207,0.63
179.305,0.63
179.406,0.63
179.505,0.63
179.607,0.63
179.705,0.63
179.807,0.63
179.905,0.63
180.006,0.63
180.105,0.63
180.206,0.63
180.305,0.63
180.407,0.63
180.505,0.63
180.606,0.63
180.705,0.63
180.806,0.63
180.905,0.63
181.006,0.63
181.105,0.63
181.207,0.63
181.305,0.63
181.406,0.63
181.505,0.63
181.606,0.63
181.705,0.63
181.806,0.63
181.905,0.63
182.006,0.63
182.105,0.63
182.205,0.63
182.305,0.63
182.407,0.63
182.505,0.63
182.607,0.63
182.705,0.63
182.806,0.63
182.905,0.63
183.007,0.63
183.105,0.63
183.206,0.63
183.305,0.63
183.407,0.63
183.505,0.63
183.605,0.63
183.705,0.63
183.807,0.63
183.905,0.63
184.007,0.63
184.105,0.63
184.207,0.63
184.305,0.63
184.407,0.63
184.505,0.63
184.607,0.63
184.705,0.63
184.806,0.63
184.905,0.63
185.005,0.63
185.105,0.63
