#time, AccY[]
45.4645,-0.972435
45.4845,-0.745816
45.5046,-0.487553
45.5246,-0.799545
45.5441,-0.630549
45.5656,-0.696061
45.5845,-0.524334
45.6047,-0.593112
45.6246,-0.7034
45.6445,-0.661818
45.6644,-0.701687
45.6845,-0.671879
45.7047,-0.628744
45.7244,-0.624445
45.7444,-0.555481
45.7643,-0.648588
45.7859,-0.680508
45.8046,-0.612053
45.8244,-0.588448
45.8445,-0.647057
45.8647,-0.621431
45.8844,-0.62637
45.9048,-0.590959
45.9245,-0.672832
45.9443,-0.626969
45.9642,-0.60953
45.9859,-0.664727
46.0045,-0.609907
46.0244,-0.701782
46.0443,-0.628589
46.0646,-0.678698
46.0845,-0.570907
46.1046,-0.586348
46.1243,-0.648078
46.1444,-0.516053
46.1642,-0.622093
46.1859,-0.664054
46.2047,-0.568526
46.2243,-0.630846
46.2443,-0.616047
46.2644,-0.577551
46.2846,-0.564978
46.3047,-0.539603
46.3243,-0.581129
46.3444,-0.680974
46.3641,-0.680131
46.3859,-0.674805
46.4048,-0.678516
46.4243,-0.710467
46.4443,-0.563598
46.4644,-0.607198
46.4847,-0.651797
46.5046,-0.617835
46.5244,-0.672199
46.5445,-0.609518
46.5643,-0.654299
46.5859,-0.5742
46.6046,-0.637927
46.6243,-0.65695
