#time, gyroY[]
137.857,0.0426106
137.962,0.0436758
138.067,0.0436758
138.172,0.0436758
138.277,0.0426106
138.382,0.0436758
138.487,0.0436758
138.592,0.0436758
138.697,0.0436758
138.802,0.0436758
138.907,0.0436758
139.012,0.0436758
139.117,0.0436758
139.222,0.0436758
139.327,0.0436758
139.432,0.0426106
139.537,0.0426106
139.642,0.0426106
139.747,0.0436758
139.852,0.0447411
139.957,0.0436758
140.062,0.0426106
140.167,0.0426106
140.272,0.0436758
140.377,0.0436758
140.482,0.0436758
140.587,0.0436758
140.692,0.0436758
140.797,0.0436758
140.902,0.0436758
141.007,0.0436758
141.112,0.0436758
141.217,0.0447411
141.322,0.0447411
141.427,0.0426106
141.532,0.0447411
141.637,0.0447411
141.742,0.0436758
141.847,0.0447411
141.952,0.0436758
142.057,0.0426106
142.162,0.0436758
142.267,0.0447411
142.372,0.0436758
142.477,0.0436758
142.582,0.0426106
142.687,0.0447411
142.792,0.0436758
142.897,0.0436758
143.002,0.0426106
143.107,0.0436758
143.212,0.0436758
143.317,0.0436758
143.422,0.0426106
143.527,0.0436758
143.632,0.0426106
143.737,0.0436758
143.842,0.0436758
143.947,0.0426106
144.052,0.0436758
144.157,0.0426106
144.262,0.0436758
144.367,0.0436758
144.472,0.0436758
144.577,0.0436758
144.682,0.0426106
144.787,0.0436758
144.892,0.0426106
144.997,0.0436758
145.102,0.0436758
145.207,0.0436758
145.312,0.0447411
145.417,0.0436758
145.522,0.0436758
145.627,0.0426106
145.732,0.0426106
145.837,0.0426106
145.942,0.0436758
146.047,0.0436758
146.152,0.0436758
146.257,0.0436758
146.362,0.0436758
146.467,0.0436758
146.572,0.0447411
146.677,0.0436758
146.782,0.0436758
146.887,0.0436758
146.992,0.0436758
147.097,0.0426106
147.202,0.0426106
147.307,0.0436758
147.412,0.0436758
147.517,0.0436758
147.622,0.0436758
147.727,0.0436758
147.832,0.0436758
147.937,0.0436758
148.042,0.0436758
148.147,0.0426106
148.252,0.0436758
148.357,0.0447411
148.462,0.0436758
148.567,0.0426106
148.672,0.0426106
148.777,0.0436758
148.882,0.0436758
148.987,0.0426106
149.092,0.0436758
149.197,0.0426106
149.302,0.0436758
149.407,0.0436758
149.512,0.0436758
149.617,0.0436758
149.722,0.0436758
149.827,0.0436758
149.932,0.0436758
150.037,0.0436758
150.142,0.0436758
150.247,0.0436758
150.352,0.0426106
150.457,0.0447411
150.562,0.0436758
150.667,0.0436758
150.772,0.0447411
150.877,0.0436758
150.982,0.0436758
151.087,0.0436758
151.192,0.0426106
151.297,0.0436758
151.402,0.0447411
151.507,0.0436758
151.612,0.0436758
151.717,0.0447411
151.822,0.0436758
151.927,0.0436758
152.032,0.0447411
152.137,0.0436758
152.242,0.0426106
152.347,0.0436758
152.452,0.0426106
152.557,0.0436758
152.662,0.0436758
152.767,0.0447411
152.872,0.0447411
152.977,0.0436758
153.082,0.0436758
153.187,0.0436758
153.292,0.0436758
153.397,0.0447411
153.502,0.0436758
153.607,0.0447411
153.712,0.0447411
153.817,0.0436758
153.922,0.0436758
154.027,0.0436758
154.132,0.0436758
154.237,0.0436758
154.342,0.0436758
154.447,0.0436758
154.552,0.0436758
154.657,0.0436758
154.762,0.0436758
154.867,0.0426106
154.972,0.0436758
155.077,0.0436758
155.182,0.0447411
155.287,0.0436758
155.392,0.0436758
155.497,0.0436758
155.602,0.0436758
155.707,0.0447411
155.812,0.0426106
155.917,0.0436758
156.022,0.0447411
156.127,0.0436758
156.232,0.0436758
156.337,0.0436758
156.442,0.0436758
156.547,0.0436758
156.652,0.0426106
156.757,0.0447411
156.862,0.0436758
156.967,0.0436758
157.072,0.0436758
157.177,0.0436758
157.282,0.0436758
157.387,0.0436758
157.492,0.0436758
157.597,0.0426106
157.702,0.0436758
157.807,0.0436758
157.912,0.0436758
158.017,0.0436758
158.122,0.0436758
158.227,0.0447411
158.332,0.0436758
158.437,0.0447411
158.542,0.0436758
158.647,0.0447411
158.752,0.0426106
158.857,0.0436758
158.962,0.0436758
159.067,0.0436758
159.172,0.0436758
159.277,0.0436758
159.382,0.0436758
159.487,0.0426106
159.592,0.0436758
159.697,0.0436758
159.802,0.0426106
159.907,0.0436758
160.012,0.0436758
160.117,0.0436758
160.222,0.0436758
160.327,0.0436758
160.432,0.0447411
160.537,0.0436758
160.642,0.0436758
160.747,0.0436758
160.852,0.0436758
160.957,0.0447411
161.062,0.0436758
161.167,0.0436758
161.272,0.0436758
161.377,0.0436758
161.482,0.0436758
161.587,0.0436758
161.692,0.0447411
161.797,0.0436758
161.902,0.0436758
162.007,0.0436758
162.112,0.0436758
162.217,0.0436758
162.322,0.0436758
162.427,0.0436758
162.532,0.0447411
162.637,0.0436758
162.742,0.0436758
162.847,0.0447411
162.952,0.0436758
163.057,0.0436758
163.162,0.0436758
163.267,0.0436758
163.372,0.0436758
163.477,0.0436758
163.582,0.0436758
163.687,0.0436758
163.792,0.0436758
163.897,0.0447411
164.002,0.0436758
164.107,0.0436758
164.212,0.0436758
164.317,0.0447411
164.422,0.0436758
164.527,0.0436758
164.632,0.0447411
164.737,0.0447411
164.842,0.0436758
164.947,0.0436758
165.052,0.0436758
165.157,0.0447411
165.262,0.0436758
165.367,0.0436758
165.472,0.0436758
165.577,0.0436758
165.682,0.0436758
165.787,0.0447411
165.892,0.0447411
165.997,0.0436758
166.102,0.0436758
166.207,0.0436758
166.312,0.0426106
166.417,0.0447411
166.522,0.0436758
166.627,0.0436758
166.732,0.0436758
166.837,0.0447411
166.942,0.0436758
167.047,0.0436758
167.152,0.0436758
167.257,0.0447411
167.362,0.0447411
167.467,0.0436758
167.572,0.0436758
167.677,0.0436758
167.782,0.0436758
167.887,0.0436758
167.992,0.0436758
168.097,0.0436758
168.202,0.0436758
168.307,0.0447411
168.412,0.0436758
168.517,0.0447411
168.622,0.0447411
168.727,0.0436758
168.832,0.0447411
168.937,0.0436758
169.042,0.0447411
169.147,0.0436758
169.252,0.0436758
169.357,0.0436758
169.462,0.0426106
169.567,0.0436758
169.672,0.0436758
169.777,0.0447411
169.882,0.0436758
169.987,0.0436758
170.092,0.0436758
170.197,0.0447411
170.302,0.0447411
170.407,0.0436758
170.512,0.0436758
170.617,0.0436758
170.722,0.0447411
170.827,0.0436758
170.932,0.0447411
171.037,0.0436758
171.142,0.0436758
171.247,0.0436758
171.352,0.0436758
171.457,0.0436758
171.562,0.0436758
171.667,0.0436758
171.772,0.0436758
171.877,0.0447411
171.982,0.0436758
172.087,0.0426106
172.192,0.0436758
172.297,0.0436758
172.402,0.0436758
172.507,0.0426106
172.612,0.0436758
172.717,0.0426106
172.822,0.0447411
172.927,0.0447411
173.032,0.0436758
173.137,0.0447411
173.242,0.0447411
173.347,0.0436758
173.452,0.0436758
173.557,0.0436758
173.662,0.0426106
173.767,0.0436758
173.872,0.0436758
173.977,0.0436758
174.082,0.0436758
174.187,0.0436758
174.292,0.0436758
174.397,0.0436758
174.502,0.0436758
174.607,0.0436758
174.712,0.0436758
174.817,0.0436758
174.922,0.0436758
175.027,0.0436758
175.132,0.0436758
175.237,0.0436758
175.342,0.0436758
175.447,0.0436758
175.552,0.0447411
175.657,0.0436758
175.762,0.0447411
175.867,0.0436758
175.972,0.0426106
176.077,0.0447411
176.182,0.0426106
176.287,0.0436758
176.392,0.0447411
176.497,0.0436758
176.602,0.0436758
176.707,0.0447411
176.812,0.0436758
176.917,0.0447411
177.022,0.0436758
177.127,0.0447411
177.232,-1.26873
177.337,0.109722
177.442,0.357929
177.547,0.0628506
177.652,0.0532632
177.757,0.0490022
177.862,0.0447411
177.967,0.0436758
178.072,0.0436758
178.177,0.0436758
178.282,0.0436758
178.387,0.0447411
178.492,0.0447411
178.597,0.0447411
178.702,0.0436758
178.807,0.0447411
178.912,0.0426106
179.017,0.0436758
179.122,0.0447411
179.227,0.0436758
179.332,0.0447411
179.437,0.0436758
179.542,0.0436758
179.647,0.0436758
179.752,0.0436758
179.857,0.0436758
179.962,0.0458064
180.067,0.0436758
180.172,0.0436758
180.277,0.0436758
180.382,0.0436758
180.487,0.0447411
180.592,0.0436758
180.697,0.0436758
180.802,0.0436758
180.907,0.0436758
181.012,0.0436758
181.117,0.0436758
181.222,0.0436758
181.327,0.0447411
181.432,0.0436758
181.537,0.0436758
181.642,0.0436758
181.747,0.0436758
181.852,0.0436758
181.957,0.0436758
182.062,0.0447411
182.167,0.0436758
182.272,0.0447411
182.377,0.0436758
182.482,0.0436758
182.587,0.0436758
182.692,0.0447411
182.797,0.0436758
182.902,0.0426106
183.007,0.0436758
183.112,0.0436758
183.217,0.0447411
183.322,0.0447411
183.427,0.0447411
183.532,0.0447411
183.637,0.0426106
183.742,0.0436758
183.847,0.0436758
183.952,0.0447411
184.057,0.0436758
184.162,0.0436758
184.267,0.0426106
184.372,0.0436758
184.477,0.0436758
184.582,0.0436758
184.687,0.0436758
184.792,0.0436758
184.897,0.0447411
185.002,0.0436758
185.107,0.0436758
185.212,0.0436758
185.317,0.0436758
185.422,0.0447411
185.527,0.0436758
185.632,0.0436758
185.737,0.0447411
185.842,0.0436758
185.947,0.0436758
186.052,0.0436758
186.157,0.0436758
186.262,0.0436758
186.367,0.0436758
186.472,0.0426106
186.577,0.0436758
186.682,0.0447411
186.787,0.0436758
