#time, accZ[]
133.027,-10.4567
133.132,-10.4591
133.237,-10.4183
133.342,-10.4447
133.447,-10.4567
133.552,-10.4471
133.657,-10.4447
133.762,-10.4423
133.867,-10.4303
133.972,-10.4351
134.077,-10.4447
134.182,-10.4471
134.287,-10.4567
134.392,-10.4423
134.497,-10.4686
134.602,-10.4207
134.707,-10.4686
134.812,-10.4423
134.917,-10.4327
135.022,-10.4495
135.127,-10.4399
135.232,-10.4399
135.337,-10.4614
135.442,-10.4255
135.547,-10.4303
135.652,-10.4614
135.757,-10.4327
135.862,-10.4519
135.967,-10.4591
136.072,-10.4686
136.177,-10.4495
136.282,-10.4375
136.387,-10.4543
136.492,-10.4303
136.597,-10.4591
136.702,-10.4567
136.807,-10.4351
136.912,-10.4231
137.017,-10.4638
137.122,-10.4327
137.227,-10.4279
137.332,-10.4423
137.437,-10.4088
137.542,-10.4495
137.647,-10.4447
137.752,-10.4471
137.857,-10.471
137.962,-10.4638
138.067,-10.4447
138.172,-10.4423
138.277,-10.4495
138.382,-10.4471
138.487,-10.4159
138.592,-10.4423
138.697,-10.4447
138.802,-10.4351
138.907,-10.4591
139.012,-10.4399
139.117,-10.4423
139.222,-10.4351
139.327,-10.4734
139.432,-10.4351
139.537,-10.4183
139.642,-10.4567
139.747,-10.4591
139.852,-10.4543
139.957,-10.4399
140.062,-10.4543
140.167,-10.4423
140.272,-10.4543
140.377,-10.4423
140.482,-10.4423
140.587,-10.4351
140.692,-10.4495
140.797,-10.4423
140.902,-10.4686
141.007,-10.4614
141.112,-10.4543
141.217,-10.4543
141.322,-10.4734
141.427,-10.4471
141.532,-10.4375
141.637,-10.4399
141.742,-10.4686
141.847,-10.4447
141.952,-10.4471
142.057,-10.4399
142.162,-10.4423
142.267,-10.4447
142.372,-10.4327
142.477,-10.4782
142.582,-10.4686
142.687,-10.4591
142.792,-10.4399
142.897,-10.4638
143.002,-10.4375
143.107,-10.4543
143.212,-10.4567
143.317,-10.4447
143.422,-10.4351
143.527,-10.4519
143.632,-10.4351
143.737,-10.471
143.842,-10.4447
143.947,-10.4495
144.052,-10.4734
144.157,-10.4375
144.262,-10.4471
144.367,-10.4447
144.472,-10.4327
144.577,-10.4758
144.682,-10.4375
144.787,-10.4351
144.892,-10.4375
144.997,-10.471
145.102,-10.4638
145.207,-10.4638
145.312,-10.4734
145.417,-10.4207
145.522,-10.4471
145.627,-10.4567
145.732,-10.4734
145.837,-10.4423
145.942,-10.4399
146.047,-10.4351
146.152,-10.4686
146.257,-10.4638
146.362,-10.4638
146.467,-10.4447
146.572,-10.4423
146.677,-10.4423
146.782,-10.4519
146.887,-10.4519
146.992,-10.4399
147.097,-10.4543
147.202,-10.4591
147.307,-10.4758
147.412,-10.4614
147.517,-10.4375
147.622,-10.4543
147.727,-10.4519
147.832,-10.4567
147.937,-10.4495
148.042,-10.4183
148.147,-10.4375
148.252,-10.4734
148.357,-10.4399
148.462,-10.4591
148.567,-10.4638
148.672,-10.4327
148.777,-10.4662
148.882,-10.4447
148.987,-10.4686
149.092,-10.4614
149.197,-10.4519
149.302,-10.4519
149.407,-10.4543
149.512,-10.4423
149.617,-10.471
149.722,-10.4327
149.827,-10.483
149.932,-10.4638
150.037,-10.4447
150.142,-10.4686
150.247,-10.4662
150.352,-10.4447
150.457,-10.4614
150.562,-10.4135
150.667,-10.4806
150.772,-10.4567
150.877,-10.4686
150.982,-10.471
151.087,-10.4662
151.192,-10.4543
151.297,-10.4375
151.402,-10.4471
151.507,-10.4686
151.612,-10.4303
151.717,-10.4519
151.822,-10.4806
151.927,-10.4231
152.032,-10.4543
152.137,-10.4638
152.242,-10.4567
152.347,-10.4543
152.452,-10.4686
152.557,-10.4591
152.662,-10.483
152.767,-10.4471
152.872,-10.4662
152.977,-10.4495
153.082,-10.4638
153.187,-10.4375
153.292,-10.4519
153.397,-10.4519
153.502,-10.4423
153.607,-10.4399
153.712,-10.4375
153.817,-10.4902
153.922,-10.4758
154.027,-10.4638
154.132,-10.4327
154.237,-10.4758
154.342,-10.4662
154.447,-10.4734
154.552,-10.4471
154.657,-10.4327
154.762,-10.471
154.867,-10.4638
154.972,-10.4423
155.077,-10.4423
155.182,-10.4279
155.287,-10.4495
155.392,-10.4519
155.497,-10.4351
155.602,-10.4782
155.707,-10.4686
155.812,-10.4303
155.917,-10.4423
156.022,-10.4926
156.127,-10.4591
156.232,-10.4758
156.337,-10.4734
156.442,-10.4423
156.547,-10.4495
156.652,-10.4519
156.757,-10.4375
156.862,-10.4567
156.967,-10.4686
157.072,-10.4231
157.177,-10.4471
157.282,-10.4447
157.387,-10.4519
157.492,-10.4279
157.597,-10.4758
157.702,-10.4495
157.807,-10.4303
157.912,-10.4567
158.017,-10.4686
158.122,-10.4423
158.227,-10.4423
158.332,-10.4303
158.437,-10.471
158.542,-10.4423
