#time, GyrY[]
355.907,0.0964584
355.927,0.0859573
355.947,0.0924479
355.967,0.0996782
355.988,0.0987373
356.007,0.0934057
356.027,0.0984791
356.047,0.0977499
356.067,0.0987592
356.086,0.0956529
356.107,0.0930462
356.127,0.0941033
356.147,0.0983909
356.167,0.0941209
356.188,0.0927858
356.207,0.0960815
356.227,0.0981566
356.247,0.0938636
356.267,0.099844
356.287,0.100339
356.307,0.0980823
356.327,0.0985474
356.347,0.10444
356.367,0.0959025
356.388,0.101514
356.407,0.0990053
356.427,0.0969985
356.447,0.106591
356.467,0.105899
356.487,0.103869
356.507,0.0988214
356.527,0.0965138
356.547,0.103888
356.567,0.0990324
356.588,0.0912463
356.607,0.0958773
356.627,0.0938807
356.647,0.0902215
356.667,0.100885
356.687,0.107401
356.706,0.0949191
356.727,0.0949077
356.747,0.0978309
356.767,0.0889035
356.788,0.0979927
356.807,0.0965056
356.827,0.104416
356.847,0.101023
356.867,0.100462
356.887,0.097676
356.907,0.100101
356.927,0.0992791
356.947,0.107455
356.967,0.101659
356.988,0.105336
357.006,0.0929158
357.027,0.0970354
357.047,0.102754
357.067,0.0997058
357.087,0.0981002
357.106,0.0987269
357.127,0.090949
357.147,0.0937525
357.167,0.0903143
357.188,0.0999919
357.206,0.099407
357.227,0.0970593
357.247,0.100111
357.267,0.0914834
357.287,0.0957647
357.307,0.100793
357.327,0.0944943
357.347,0.0974334
357.367,0.0906866
357.388,0.0931832
357.407,0.0970741
357.427,0.108021
357.447,0.104218
357.467,0.101342
357.486,0.0998648
357.507,0.0948008
357.527,0.0947046
357.547,0.0964232
357.567,0.0913414
357.588,0.101309
357.607,0.0996879
357.627,0.0995172
357.647,0.0945947
357.667,0.102102
357.687,0.101337
357.706,0.0965293
357.727,0.0904469
357.747,0.0916342
357.767,0.0937647
357.788,0.0982057
357.807,0.0998149
357.827,0.0962963
357.847,0.0957637
357.867,0.0985985
357.887,0.101161
357.907,0.0999758
357.927,0.0976483
357.947,0.101674
357.967,0.0900572
357.988,0.0957877
358.007,0.0944608
358.027,0.100916
358.047,0.096247
358.067,0.0936238
358.087,0.0974739
358.107,0.0905548
358.127,0.10086
358.147,0.0949179
358.167,0.0957211
358.188,0.102351
358.206,0.0939044
358.227,0.0976844
358.247,0.089295
358.267,0.0920821
358.287,0.100111
358.307,0.104864
358.327,0.101061
358.347,0.100043
358.367,0.0995518
358.388,0.0989129
358.407,0.0892506
358.427,0.0962652
358.447,0.0949764
358.467,0.104933
358.487,0.104957
358.507,0.0922366
358.527,0.0957106
358.547,0.090122
358.567,0.0939713
358.588,0.095262
358.607,0.0920454
358.627,0.0998491
358.647,0.0964227
358.667,0.0966979
358.687,0.0886842
358.707,0.0971841
358.727,0.0962651
358.747,0.101683
358.767,0.0974326
358.788,0.0987499
358.807,0.101557
358.827,0.100439
358.847,0.10357
358.867,0.0978617
358.887,0.0994861
358.907,0.0910786
358.927,0.091873
358.947,0.0928939
358.967,0.0995449
358.988,0.0944653
359.007,0.102575
359.027,0.0942103
359.047,0.097692
359.067,0.103544
359.086,0.107077
359.107,0.0996162
359.127,0.0940849
359.147,0.0967792
359.167,0.0978587
359.188,0.100577
359.207,0.0934318
359.227,0.0963743
359.247,0.102905
359.267,0.0941507
359.287,0.0996921
359.307,0.100427
359.327,0.101249
359.347,0.0973714
359.367,0.0964133
359.388,0.0914338
359.407,0.102651
359.427,0.0930948
359.447,0.0985108
359.467,0.0981133
359.487,0.0923264
359.507,0.0979878
359.527,0.0942072
359.547,0.0958003
359.567,0.0970769
359.588,0.0965728
359.607,0.090957
359.627,0.102593
359.647,0.0963474
359.667,0.100957
359.687,0.0970227
359.707,0.0997898
359.727,0.101281
359.747,0.102922
359.767,0.103483
359.788,0.100114
359.806,0.100915
359.827,0.0977465
359.847,0.0907486
359.867,0.106931
359.887,0.104279
359.907,0.100091
359.927,0.0988218
359.947,0.0934269
359.967,0.0932219
359.988,0.0992281
360.007,0.0997016
360.027,0.0989827
360.047,0.103137
360.067,0.104439
360.087,0.10082
360.106,0.0933812
360.127,0.0987149
360.147,0.097717
360.167,0.09715
360.188,0.1073
360.207,0.0991677
360.227,0.0996534
360.247,0.0997105
360.267,0.0921025
360.287,0.0976385
360.307,0.0974496
360.327,0.0961776
360.347,0.100504
360.367,0.095785
360.388,0.100456
360.406,0.0993015
360.427,0.0945945
360.447,0.0984874
360.467,0.0966712
360.487,0.0945366
360.507,0.0957615
360.527,0.0978868
360.547,0.090378
360.567,0.0983876
360.588,0.102254
360.607,0.0988318
360.627,0.0975779
360.647,0.0981344
360.667,0.0935706
360.687,0.0980793
360.707,0.0996563
360.727,0.099304
360.747,0.0977635
360.767,0.0996217
360.788,0.0968823
360.807,0.0958079
360.827,0.100897
360.847,0.101187
360.867,0.0976994
360.887,0.0969401
360.907,0.0920276
360.927,0.0978158
360.947,0.100544
360.967,0.0958679
360.988,0.0924821
361.007,0.0997434
361.027,0.100498
361.047,0.102072
361.067,0.0944952
361.087,0.0985059
361.107,0.101441
361.127,0.0991346
361.147,0.100564
361.167,0.106536
361.188,0.11199
361.207,0.0978955
361.227,0.0992256
361.247,0.0941465
361.267,0.0992331
361.287,0.0965301
361.307,0.0980135
361.327,0.100195
361.347,0.098941
361.367,0.0935163
361.388,0.0984632
361.406,0.105863
361.427,0.102173
361.447,0.0943124
361.467,0.0948181
361.487,0.105938
361.507,0.0965591
361.527,0.101625
361.547,0.0979224
361.567,0.0985963
361.588,0.0974773
361.607,0.098026
361.627,0.101506
361.647,0.105572
361.667,0.101354
361.687,0.0991992
361.707,0.109644
361.727,0.102833
361.747,0.101382
361.767,0.0991225
361.788,0.102187
361.806,0.1016
361.827,0.105509
361.847,0.0985004
361.867,0.103852
361.886,0.097942
361.907,0.102603
361.927,0.104262
361.947,0.102654
361.967,0.097728
361.988,0.0935519
362.007,0.108367
362.027,0.108276
362.047,0.106211
362.067,0.100523
362.087,0.103394
362.107,0.104126
362.127,0.0978946
362.147,0.0960413
362.167,0.0926264
362.188,0.0981817
362.206,0.0989176
362.227,0.0978174
362.247,0.102453
362.267,0.0972638
362.287,0.0923986
362.307,0.0951316
362.327,0.106042
362.347,0.101183
362.367,0.0915356
362.388,0.0967396
362.407,0.0950752
362.427,0.10005
362.447,0.0986861
362.467,0.0988465
362.487,0.0925152
362.507,0.094255
362.527,0.100663
362.547,0.10166
362.567,0.101235
362.588,0.0958555
362.607,0.0938829
362.627,0.107377
362.647,0.102322
362.667,0.0974516
362.687,0.102495
362.707,0.100277
362.727,0.0983457
362.747,0.0978476
362.767,0.0999055
362.788,0.100626
362.806,0.0971616
362.827,0.0964312
362.847,0.0991094
362.867,0.105172
362.886,0.098076
362.907,0.0987389
362.927,0.0988623
362.947,0.107002
362.967,0.103298
362.988,0.0961022
363.007,0.095008
363.027,0.0994894
363.047,0.0951968
363.067,0.104181
363.087,0.102688
363.107,0.102568
363.127,0.102875
363.147,0.102186
363.167,0.0977558
363.188,0.0921703
363.207,0.102312
363.227,0.104751
363.247,0.103236
363.267,0.105962
363.287,0.106767
363.307,0.102746
363.327,0.105209
363.347,0.101197
363.367,0.0998192
363.388,0.1003
363.406,0.0974718
363.427,0.0994337
363.447,0.100352
363.467,0.0980651
363.487,0.099129
363.507,0.1028
363.527,0.10306
363.547,0.0959297
363.567,0.105104
363.588,0.0970974
363.607,0.102758
363.627,0.100035
363.647,0.104763
363.667,0.106641
363.687,0.10856
363.707,0.0984444
363.727,0.105385
363.747,0.0994758
363.767,0.106304
363.788,0.101882
363.807,0.099382
363.827,0.101187
363.847,0.0995264
363.867,0.0913739
363.887,0.0953293
363.907,0.1011
363.927,0.103012
363.947,0.0945737
363.967,0.106891
363.988,0.105373
364.007,0.107652
364.027,0.107439
364.047,0.0980152
364.067,0.0966071
364.086,0.100436
364.107,0.0988091
364.127,0.10663
364.147,0.10271
364.167,0.0980786
364.188,0.0989935
364.207,0.0968291
364.227,0.0953896
364.247,0.099737
364.267,0.109646
364.286,0.101345
364.307,0.09805
364.327,0.10508
364.347,0.0991893
364.367,0.093131
364.388,0.0991426
364.407,0.0961557
364.427,0.0994978
364.447,0.0935798
364.467,0.0995556
364.487,0.106341
364.507,0.0971145
364.527,0.103861
364.547,0.102982
364.567,0.101038
364.588,0.100239
364.607,0.102954
364.627,0.0991203
364.647,0.0988169
