#time, Roll[]
341.067,0
341.107,0
341.148,0
341.188,0
341.228,0
341.268,0
341.307,0
341.348,0
341.389,0
341.427,0
341.467,0
341.507,0
341.548,0
341.589,0
341.628,0
341.667,0
341.707,0
341.748,0
341.788,0
341.828,0
341.867,0
341.907,0
341.948,0
341.989,0
342.027,0
342.067,0
342.107,0
342.148,0
342.188,0
342.227,0
342.267,0
342.307,0
342.349,0
342.389,0
342.428,0
342.467,0
342.507,0
342.548,0
342.589,0
342.627,0
342.667,0
342.707,0
342.748,0
342.788,0
342.827,0
342.867,0
342.907,0
342.948,0
342.989,0
343.027,0
343.067,0
343.107,0
343.148,0
343.188,0
343.227,0
343.268,0
343.307,0
343.348,0
343.389,0
343.427,0
343.468,0
343.507,0
343.548,0
343.588,0
343.627,0
343.667,0
343.707,0
343.748,0
343.788,0
343.827,0
343.868,0
343.907,0
343.948,0
343.988,0
344.027,0
344.067,0
344.107,0
344.148,0
344.188,0
344.227,0
344.268,0
344.307,0
344.348,0
344.389,0
344.427,0
344.468,0
344.507,0
344.548,0
344.588,0
344.627,0
344.668,0
344.707,0
344.748,0
344.788,0
344.827,0
344.867,0
344.907,0
344.948,0
344.988,0
345.027,0
345.067,0
345.107,0
345.148,0
345.188,0
345.227,0
345.268,0
345.307,0
345.349,0
345.389,0
345.427,0
345.467,0
345.507,0
345.548,0
345.588,0
345.627,0
345.667,0
345.707,0
345.748,0
345.788,0
345.827,0
345.867,0
345.907,0
345.948,0
345.988,0
346.027,0
346.067,0
346.107,0
346.148,0
346.188,0
346.227,0
346.268,0
346.307,0
346.348,0
346.389,0
346.427,0
346.467,0
346.507,0
346.548,0
346.588,0
346.627,0
346.667,0
346.707,0
346.748,0
346.789,0
346.827,0
346.867,0
346.907,0
346.948,0
346.988,0
347.027,0
347.067,0
347.107,0
347.147,0
347.189,0
347.227,0
347.267,0
347.307,0
347.348,0
347.389,0
347.427,0
347.467,0
347.507,0
347.548,0
347.588,0
347.627,0
347.667,0
347.707,0
347.748,0
347.788,0
347.827,0
347.867,0
347.907,0
347.948,0
347.989,0
348.027,0
348.067,0
348.107,0
348.148,0
348.188,0
348.227,0
348.268,0
348.307,0
348.351,0
348.389,0
348.427,0
348.467,0
348.507,0
348.548,0
348.588,0
